iter	Passed	Remaining
398	108127	162868
399	108393	162590
400	108677	162338
401	108963	162089
402	109237	161823
403	109546	161607
404	109766	161261
405	110064	161030
406	110331	160753
407	110600	160478
408	110860	160192
409	111156	159957
410	111425	159682
411	111739	159472
412	112016	159210
413	112226	158852
414	112531	158628
415	112801	158356
416	113071	158083
417	113339	157807
418	113627	157560
419	113898	157288
420	114182	157034
421	114488	156810
422	114759	156539
423	115058	156306
424	115341	156050
425	115614	155781
426	115976	155630
427	116218	155319
428	116510	155075
429	116772	154791
430	117062	154544
431	117343	154285
432	117592	153983
433	117940	153811
434	118243	153580
435	118505	153295
436	118788	153039
437	119071	152781
438	119378	152553
439	119652	152284
440	119949	152045
441	120220	151771
442	120510	151521
443	120780	151247
444	121058	150982
445	121298	150671
446	121584	150416
447	121891	150187
448	122153	149903
449	122454	149666
450	122772	149449
451	123047	149181
452	123353	148950
453	123583	148627
454	123886	148391
455	124147	148105
456	124458	147879
457	124718	147592
458	125009	147342
459	125266	147052
460	125516	146753
461	125807	146502
462	126097	146251
463	126413	146029
464	126679	145749
465	126942	145466
466	127257	145242
467	127513	144951
468	127752	144641
469	128039	144385
470	128363	144170
471	128639	143901
472	128938	143658
473	129206	143380
474	129503	143135
475	129789	142877
476	130050	142591
477	130363	142363
478	130625	142079
479	130904	141813
480	131185	141549
481	131478	141298
482	131707	140979
483	131998	140726
484	132293	140477
485	132534	140170
486	132798	139888
487	133072	139616
488	133380	139381
489	133613	139066
490	133881	138789
491	134128	138490
492	134429	138246
493	134659	137930
494	134916	137642
495	135187	137367
496	135467	137102
497	135757	136848
498	136028	136574
499	136363	136363
500	136604	136059
501	136900	135809
502	137192	135555
503	137467	135285
504	137779	135051
505	138050	134776
506	138365	134545
507	138643	134276
508	138899	133987
509	139164	133706
510	139405	133403
511	139655	133109
512	139930	132838
513	140235	132596
514	140481	132297
515	140756	132026
516	141017	131743
517	141291	131472
518	141603	131235
519	141858	130945
520	142154	130694
521	142433	130427
522	142741	130186
523	142972	129876
524	143261	129617
525	143554	129363
526	143842	129103
527	144107	128823
528	144380	128550
529	144645	128270
530	144915	127995
531	145218	127748
532	145525	127505
533	145799	127233
534	146075	126962
535	146337	126680
536	146675	126463
537	146960	126200
538	147228	125922
539	147518	125663
540	147807	125404
541	148103	125150
542	148384	124883
543	148694	124640
544	148906	124316
545	149206	124065
546	149460	123776
547	149758	123523
548	150033	123251
549	150315	122985
550	150606	122726
551	150885	122457
552	151186	122207
553	151401	121886
554	151731	121658
555	151966	121354
556	152263	121100
557	152554	120840
558	152831	120570
559	153135	120320
560	153359	120008
561	153632	119734
562	153909	119464
563	154181	119190
564	154454	118916
565	154748	118658
566	155049	118406
567	155316	118127
568	155615	117874
569	155884	117596
570	156179	117339
571	156465	117075
572	156756	116814
573	157063	116566
574	157344	116297
575	157615	116022
576	157843	115715
577	158098	115428
578	158382	115162
579	158644	114880
580	158927	114614
581	159211	114347
582	159510	114092
583	159789	113822
584	160078	113559
585	160353	113287
586	160591	112988
587	160871	112719
588	161150	112449
589	161442	112188
590	161717	111915
591	162029	111669
592	162331	111414
593	162629	111157
594	162940	110908
595	163215	110635
596	163510	110376
597	163788	110105
598	164075	109840
599	164339	109559
600	164629	109296
601	164913	109029
602	165186	108754
603	165476	108490
604	165733	108205
605	166027	107945
606	166292	107665
607	166577	107398
608	166901	107156
609	167182	106887
610	167477	106626
611	167751	106352
612	168004	106064
613	168284	105794
614	168561	105522
615	168831	105245
616	169100	104968
617	169400	104710
618	169666	104431
619	169927	104149
620	170198	103872
621	170495	103612
622	170737	103319
623	171022	103051
624	171304	102782
625	171549	102491
626	171856	102236
627	172112	101951
628	172436	101707
629	172671	101410
630	172967	101149
631	173196	100848
632	173500	100591
633	173772	100316
634	174046	100042
635	174324	99770
636	174602	99498
637	174909	99243
638	175179	98967
639	175463	98698
640	175756	98434
641	176064	98179
642	176334	97902
643	176596	97621
644	176872	97348
645	177142	97071
646	177473	96828
647	177754	96558
648	178005	96270
649	178301	96008
650	178532	95711
651	178850	95460
652	179125	95185
653	179428	94927
654	179712	94657
655	179958	94368
656	180272	94114
657	180536	93835
658	180802	93556
659	181053	93270
660	181355	93009
661	181618	92729
662	181886	92452
663	182168	92181
664	182493	91932
665	182802	91675
666	183081	91403
667	183401	91151
668	183670	90874
669	183952	90603
670	184209	90320
671	184485	90046
672	184793	89788
673	185074	89516
674	185372	89253
675	185660	88985
676	185946	88715
677	186210	88436
678	186487	88162
679	186775	87894
680	187014	87603
681	187280	87324
682	187566	87055
683	187872	86795
684	188125	86510
685	188408	86239
686	188699	85972
687	188977	85698
688	189274	85434
689	189487	85132
690	189764	84858
691	190030	84579
692	190328	84316
693	190599	84039
694	190881	83768
695	191201	83513
696	191501	83249
697	191762	82969
698	191976	82668
699	192278	82404
700	192546	82127
701	192832	81857
702	193141	81597
703	193406	81318
704	193678	81042
705	193952	80767
706	194221	80490
707	194483	80210
708	194747	79931
709	195052	79669
710	195293	79381
711	195556	79101
712	195859	78838
713	196161	78574
714	196422	78294
715	196723	78030
716	197004	77757
717	197315	77497
718	197593	77223
719	197902	76962
720	198211	76700
721	198510	76434
722	198795	76163
723	199103	75901
724	199345	75613
725	199655	75352
726	199927	75075
727	200228	74810
728	200531	74546
729	200776	74259
730	201085	73997
731	201366	73724
732	201665	73458
733	201927	73178
734	202221	72909
735	202515	72641
736	202757	72354
737	203082	72097
738	203310	71805
739	203580	71528
740	203796	71232
741	204071	70957
742	204315	70671
743	204581	70393
744	204849	70116
745	205122	69840
746	205450	69583
747	205785	69328
748	206093	69064
749	206329	68776
750	206625	68508
751	206886	68228
752	207183	67960
753	207438	67678
754	207692	67397
755	207971	67123
756	208248	66848
757	208519	66572
758	208748	66282
759	209010	66003
760	209294	65731
761	209603	65466
762	209906	65200
763	210152	64916
764	210462	64651
765	210688	64361
766	210991	64095
767	211267	63820
768	211568	63552
769	211833	63275
770	212075	62989
771	212367	62720
772	212605	62433
773	212909	62167
774	213141	61879
775	213476	61622
776	213749	61346
777	214050	61078
