iter	Logloss
0	0.4913001954
1	0.4137161256
2	0.3823159688
3	0.3686768479
4	0.36358641
5	0.3596953684
6	0.3583701871
7	0.3577211968
8	0.3573981946
9	0.3565047656
10	0.3560520445
11	0.355942704
12	0.3558663974
13	0.3557818933
14	0.3555875283
15	0.3555629761
16	0.3553767154
17	0.3553171333
18	0.3551590343
19	0.3551462028
20	0.3550896
21	0.3550109479
22	0.3549900718
23	0.3549778093
24	0.3549370256
25	0.3548981047
26	0.3548871211
27	0.3548484746
28	0.3548354526
29	0.3548071147
30	0.3547849392
31	0.3547606279
32	0.3547440124
33	0.3547326648
34	0.3547203028
35	0.3547057328
36	0.3546771274
37	0.3546684882
38	0.3546530431
39	0.3546398208
40	0.3546269113
41	0.354622405
42	0.3546046162
43	0.354595539
44	0.3545865276
45	0.3545765933
46	0.3545648066
47	0.3545546894
48	0.354547517
49	0.3545368557
50	0.3545127839
51	0.3544871664
52	0.3544738223
53	0.3544661732
54	0.3544582632
55	0.3544520946
56	0.3544391886
57	0.3544150386
58	0.3544067206
59	0.354399085
60	0.3543807032
61	0.354372499
62	0.3543570052
63	0.3543493931
64	0.3543441049
65	0.3543338439
66	0.3543231317
67	0.3543147359
68	0.3542989475
69	0.3542761748
70	0.3542578959
71	0.3542445101
72	0.3542364878
73	0.3542328736
74	0.3542236585
75	0.354213677
76	0.3542071936
77	0.3541984954
78	0.354194266
79	0.3541836834
80	0.3541772513
81	0.3541684636
82	0.3541623021
83	0.3541557619
84	0.3541502953
85	0.3541441245
86	0.3541370252
87	0.3541267688
88	0.3541223746
89	0.3541135867
90	0.3541028216
91	0.3540910083
92	0.3540789385
93	0.3540635763
94	0.3540570325
95	0.3540451537
96	0.3540352318
97	0.3540284917
98	0.35402345
99	0.3540172095
100	0.3540110437
101	0.3539957324
102	0.353990341
103	0.3539837505
104	0.3539772396
105	0.3539716942
106	0.3539638357
107	0.3539531495
108	0.3539464745
109	0.3539373889
110	0.3539259251
111	0.3539223516
112	0.3539167921
113	0.3539104812
114	0.3539070764
115	0.3538982184
116	0.3538917452
117	0.3538879298
118	0.3538807617
119	0.3538720493
120	0.3538663359
121	0.3538624413
122	0.3538534023
123	0.3538458466
124	0.3538383982
125	0.3538340419
126	0.3538294149
127	0.3538253291
128	0.3538182022
129	0.3538134916
130	0.353808263
131	0.3538008638
132	0.3537939003
133	0.3537888681
134	0.3537832386
135	0.3537752036
136	0.3537720081
137	0.3537674372
138	0.3537641865
139	0.3537573567
140	0.35374891
141	0.3537455798
142	0.3537404632
143	0.3537298618
144	0.3537220214
145	0.3537155896
146	0.3537114712
147	0.3537083416
148	0.3537051283
149	0.353700278
150	0.3536945639
151	0.3536895125
152	0.3536862383
153	0.3536789808
154	0.3536699135
155	0.3536619941
156	0.3536565649
157	0.3536519456
158	0.3536469222
159	0.3536399764
160	0.3536359234
161	0.3536301508
162	0.3536235882
163	0.3536141199
164	0.3536088216
165	0.3536056079
166	0.3536005468
167	0.3535915815
168	0.3535843007
169	0.3535773026
170	0.3535671584
171	0.3535640101
172	0.3535601394
173	0.3535512376
174	0.3535422356
175	0.3535359389
176	0.3535316514
177	0.3535289835
178	0.3535238015
179	0.3535190908
180	0.3535164835
181	0.3535057092
182	0.3535019219
183	0.3534977336
184	0.3534936198
185	0.3534911282
186	0.3534873405
187	0.3534851203
188	0.353481958
189	0.353476216
190	0.3534704321
191	0.3534645321
192	0.3534619714
193	0.3534583986
194	0.3534530068
195	0.3534419459
196	0.3534372159
197	0.353431651
198	0.3534299206
199	0.3534261101
200	0.3534223322
201	0.3534186281
202	0.3534152796
203	0.3534104427
204	0.3534079846
205	0.3534032223
206	0.3533991784
207	0.3533942621
208	0.3533897565
209	0.3533870466
210	0.3533823405
211	0.3533778115
212	0.3533739418
213	0.3533656303
214	0.3533591893
215	0.3533534339
216	0.3533510384
217	0.3533491261
218	0.3533460057
219	0.353342881
220	0.3533413139
221	0.3533347418
222	0.3533293707
223	0.3533257001
224	0.3533227339
225	0.3533185972
226	0.3533137834
227	0.353311647
228	0.3533080397
229	0.3533047659
230	0.3533003863
231	0.353294019
232	0.3532923446
233	0.3532866686
234	0.3532839075
235	0.3532767383
236	0.3532727502
237	0.3532693831
238	0.3532657867
239	0.3532606991
240	0.353255909
241	0.3532514877
242	0.3532484555
243	0.3532452746
244	0.3532432176
245	0.3532385861
246	0.3532322616
247	0.3532290711
248	0.3532262541
249	0.3532203069
250	0.3532138189
251	0.3532107175
252	0.3532075223
253	0.3532042854
254	0.353198791
255	0.3531935113
256	0.3531886426
257	0.3531834091
258	0.3531811609
259	0.3531786096
260	0.353175391
261	0.3531722145
262	0.3531675508
263	0.3531653587
264	0.3531617536
265	0.3531589737
266	0.3531542812
267	0.3531485814
268	0.3531436375
269	0.3531376855
270	0.3531338007
271	0.353128432
272	0.3531250039
273	0.3531205971
274	0.3531174535
275	0.3531142441
276	0.3531082182
277	0.3531053778
278	0.3531030458
279	0.3530971638
280	0.3530932739
281	0.3530887637
282	0.3530829664
283	0.3530791792
284	0.35307332
285	0.3530718787
286	0.3530679004
287	0.3530645655
288	0.3530582032
289	0.3530553256
290	0.353052532
291	0.3530455491
292	0.3530421999
293	0.3530383945
294	0.3530338513
295	0.3530286459
296	0.3530222109
297	0.353020457
298	0.3530172577
299	0.3530104671
300	0.3530035822
301	0.3530011102
302	0.3529988108
303	0.3529949409
304	0.3529921564
305	0.3529884628
306	0.3529849458
307	0.3529811406
308	0.3529770546
309	0.3529701423
310	0.3529662804
311	0.3529636219
312	0.3529600912
313	0.3529567832
314	0.3529527626
315	0.3529495863
316	0.3529470722
317	0.3529416859
